LocationFromNERflair,policereport_id
Neukölln,0
Britzer Damm,0
Jahnstraße,0
Hermsdorfer Damm,1
Hermsdorf,1
Frohnauer Straße,1
Schillerstraße,2
Wilmersdorfer Straße,2
Charlottenburg,2
Krummestraße,2
Feurigstraße,3
Tempelhof,3
Müller,4
Wedding,4
Lindower Straße,4
Jungfernheide,5
Brand,6
Sanderstraße,6
Neukölln,6
Kottbusser Damm,6
Heinersdorf,7
Romain-Rolland-Straße,7
Spandau,8
Nennhauser Damm,8
Brunsbütteler Damm,8
Staaken,8
Altstadt,8
Berliner Straße,9
Pankow,9
Columbiadamm,10
Neukölln,10
Holzmarktstraße,11
Berlin,11
Siemensstadt,12
Gartenfelder Straße,12
Grevesmühlener Straße,13
Neu-Hohenschönhausen,13
Oberlandstraße,14
Tempelhof,14
Gradestraße,14
Neukölln,14
Britzer Tunnel,14
Oberland,14
Treskowallee,15
Hegemeisterweg,15
Karlshorst,15
Wriezener Straße,16
Soldiner Straße,16
Gesundbrunnen,16
Tiergarten,17
Großer Stern,17
Straße,17
Wilhelmstraße,17
Potsdamer Platz,17
Yitzhak-Rabin-Straße,17
Rathenower Straße,17
Pariser Platz,17
Paulstraße,17
Großen Stern,17
Turmstraße,17
Behrenstraße,17
Berlin,17
Alt-Moabit,17
Heinrich-von-Gagern-Straße,17
Spreeweg,17
Bellevue,17
Unter den Linden,17
John-Foster-Dulles-Allee,17
Carl-von-Ossietzky-Park,17
Moabit,17
Dorotheenstraße,17
Brandenburger Tor,17
Ebertstraße,17
Scheidemannstraße,17
Baumschulenweg,18
Neukölln,18
Neuen Späthstraße,18
Kurfürstendamm,19
Knesebeckstraße,19
Charlottenburg,19
Halensee,19
Marienfelde,20
Prerower Platz,21
Neu-Hohenschönhausen,21
Rummelsburg,22
Egmontstraße,22
Weigandufer,23
Neukölln,23
Fuldastraße,23
Charlottenburg,24
Jungfernheide,24
Tegeler Weg,24
Tempelhof,25
Braunlager Straße,25
Ostpreußendamm,26
Lichterfelde,26
Sonnenallee,27
Neukölln,27
Wildenbruchstraße,27
Wildenbruchbrücke,27
Weigandufer,27
Müggelheimer Damm,28
Köpenick,28
Kiefholzstraße,29
Baumschulenstraße,29
Baumschulenweg,29
